>WP_041962734.1	C_1
>Ga0123354_101703013	E1_61
>JGI12289J12836_100008025	E1_62
>AFS20793.1	E1_63
>WP_067951876.1	E1_64
>640843164	E1_65
>TahiMoana_10062773	E1_66
>WP_075086346.1	E1_67
>Abe_100076212	E1_68
>Ga0065721_100099105	E1_69
>WP_012913492.1	E1_70
>Ga0212088_1000261316	E1_71
>JGI20166J26741_118353627	E1_72
>Ga0123327_100181810	E1_73
>Ga0082212_100576902	E1_74
>JGI12316J15309_100008556	E1_75
>Ga0123332_10069294	E1_76
>Ga0065720_10222415	E1_77
>Ga0068707_10318721	E1_78
>JGI12104J13512_100016534	E1_79
>Ga0213839_10004734	E1_80
>Ga0182793_10015335	E1_81
>2584251514	E1_82
>Ga0153954_1000017124	E1_83
>Ga0068678_1417551	E1_84
>Ga0082212_100699401	E1_85
>Ga0068674_11811401	E1_86
>Ga0114919_1000010842	E1_87
>ARU40977.1	E1_88
>Ga0214071_15179292	E1_89
>WP_012499478.1	E1_90
>Ga0214086_12260913	E1_91
>Ga0079301_10269062	E1_92
>2506646935	E1_93
>2264940537	E1_94
>Ga0194038_100028912	E1_95
>JGI24187J35170_10163211	E1_96
>Ga0212088_100347136	E1_97
>JGI24187J35170_10083452	E1_98
>Ga0079300_100036715	E1_99
>Ga0157326_10007622	E1_100
>JGIcombinedJ13530_1018889762	E1_101
>Ga0212088_100741112	E1_102
>Ga0068711_10089803	E1_103
>Ga0082212_100949584	E1_104
>Ga0116202_100062052	E1_105
>Ga0190334_100031926	E1_106
>JGI20214J51650_100385294	E1_107
>Ga0212089_100158565	E1_108
>Ga0079306_10005727	E1_109
>WP_010880872.1	E1_110
>Ga0068676_10117051	E1_111
>WP_012674109.1	E1_112
>Ga0214088_13730112	E1_113
>JGI24704J35079_100120352	E1_114
>WP_013171508.1	E1_115
>Ga0194039_10441372	E1_116
>JGIcombinedJ13530_1063954423	E1_117
>OGW59619.1	E1_118
>JGI12104J13512_10039977	E1_119
>Ga0123335_10013822	E1_120
>Ga0137438_10298501	E1_121
>WP_084663982.1	E1_122
>Ga0104751_10018719	E1_123
>JGI24123J20310_10040962	E1_124
>Ga0114930_100028966	E1_125
>Ga0206388_10297725	E1_126
>Ga0212088_1000023651	E1_127
>JGI20214J51650_100183322	E1_128
>Ga0068707_10474312	E1_129
>WP_025392447.1	E1_130
>KPK74742.1	E1_131
>Ga0123353_105769351	E1_132
>Ga0212088_100240613	E1_133
>PCEOTH_2605050	E1_134
>Ga0104751_10065181	E1_135
>JGI20214J51088_100109452	E1_136
>Ga0068707_10001151	E1_137
>Ga0160425_10041424	E1_138
>Ga0074195_10217393	E1_139
>Ga0134097_10250062	E1_140
>Ga0153798_100216651	E1_141
>Ga0226657_1000713211	E1_142
>JGI24188J35168_10233381	E1_143
>Ga0212088_100220355	E1_144
>JGI12104J13512_10124292	E1_145
>Ga0068707_10031683	E1_146
>Ga0123389_1612802	E1_147
>WP_012220131.1	E1_148
>draft_114982111	E1_149
>EHD13121.1	E1_150
>Ga0131853_1000001678	E1_151
>C235970__gene_12091	E1_152
>Ga0213833_10123844	E1_153
>Ga0153932_10004297	E1_154
>WP_014547514.1	E1_155
>Ga0114950_100163711	E1_156
>Ga0181606_100844051	E1_157
>Ga0074231_106573	E1_158
>KVRMV2_1004837585	E1_159
>Ga0153956_10048895	E1_160
>WP_012220388.1	E1_161
>WP_038603039.1	E1_162
>BpDRAFT_102485642	E1_163
>WP_015396610.1	E1_164
>WP_038076703.1	E1_165
>WP_019961115.1	E1_166
>Deep_10169612	E1_167
>Ga0066256_10070787	E1_168
>Ga0055584_1000022063	E1_169
>Ga0115572_1000023412	E1_170
>HBC_ctgsDRAFT_10009734	E1_171
>WP_000263546.1	E1_172
>WP_024788209.1	E1_173
>Ga0079365_100000491	E1_174
>Ga0079365_107996691	E1_175
>Ga0079365_113940771	E1_176
>Ga0079365_104482171	E1_177
>JGIcombinedJ13530_1041189482	E1_178
>JGI20171J14444_10010484	E1_179
>CCZ82329.1	E1_180
>SRS013946_WUGC_scaffold_15564__gene_38428	E1_181
>WP_009227655.1	E1_182
>Ga0079365_107471011	E1_183
>WP_019245380.1	E1_184
>Ga0079365_104437131	E1_185
>JGI20166J26741_114883406	E1_186
>JGI24704J35079_100335981	E1_187
>Ga0105674_10911805	E1_188
>Ga0172377_1000305514	E1_189
>Ga0082212_100008947	E1_190
>Ga0172377_100408064	E1_191
>Ga0172377_100031665	E1_192
>JGI20214J51088_100049268	E1_193
>Ga0172377_100238273	E1_194
>WP_027389113.1	E1_195
>Ga0116202_100058856	E1_196
>Ga0055584_1000795563	E1_197
>Ga0082212_100110706	E1_198
>Ga0099364_100815973	E1_199
>Ga0081760_11038002	E1_200
>Ga0172377_100465341	E1_201
>Ga0136651_1000000181	E1_202
>JGIcombinedJ13530_1009351301	E1_203
>Ga0099364_100214174	E1_204
>Ga0123357_102765501	E1_205
>EFI16234.1	E1_206
>WSSedL1CaDRAFT_100050443	E1_207
>JGIcombinedJ13530_1003995472	E1_208
>KVWGV2_1014688412	E1_209
>Ga0114923_101304841	E1_210
>BMHB3_00171670	E1_211
>Ga0105700_10003658	E1_212
>Ga0194039_10225911	E1_213
>Ga0172382_1000101229	E1_214
>Ga0172377_100940582	E1_215
>IMNBL1DRAFT_000253511	E1_216
>JGIcombinedJ13530_1099089371	E1_217
>Ga0123356_1000299810	E1_218
>BMHB2_0217	E1_219
>2228025989	E1_220
>JGI20166J26741_1033667113	E1_221
>KFZ27301.1	E1_222
>Ga0075017_1000017817	E1_223
>Ga0181552_100016808	E1_224
>Ga0115550_10156403	E1_225
>646505657	E1_226
>2524926647	E1_227
>Ga0075021_100143993	E1_228
>Ga0194053_100139043	E1_229
>Ga0075030_1002419241	E1_230
>C688J18823_100324971	E1_231
>645040972	E1_232
>Ga0075017_1000692021	E1_233
>C688J18823_100018727	E1_234
>WP_015622652.1	E1_235
>Ga0160429_10042773	E1_236
>Ga0194038_10030824	E1_237
>JGIcombinedJ13530_1039720391	E1_238
>SQB64431.1	E1_239
>C164753__gene_9429	E1_240
>WP_022928177.1	E1_241
>PaHGMunAill_00123793	E1_242
>JGI12659J15293_100117642	E1_243
>WP_011719436.1	E1_244
>WP_015797981.1	E1_245
>Ga0164296_10026329	E1_246
>Ga0075019_100086853	E1_247
>Ga0066256_100148825	E1_248
>Ga0075017_1000271302	E1_249
>Ga0075017_1001160701	E1_250
>Ga0194055_100125912	E1_251
>Ga0114925_101301271	E1_252
>Ga0082212_102508181	E1_253
>WP_013170281.1	E1_254
>JGI20166J26741_105366041	E1_255
>WP_013160097.1	E1_256
>JGI20172J14457_100017272	E1_257
>Ga0123354_100060284	E1_258
>2581180106	E1_259
>Ga0182792_10348222	E1_260
>Ga0153992_10001614	E1_261
>Ga0212090_1000720814	E1_262
>Ga0123334_10213532	E1_263
>JGI12712J15308_100059523	E1_264
>WP_012832845.1	E1_265
>648021452	E1_266
>JGI20169J29049_113571071	E1_267
>JGI24699J35502_111339544	E1_268
>Ga0099364_100599596	E1_269
>Ga0041910_10157631	E1_270
>Ga0212090_100192835	E1_271
>Ga0068713_1000011303	E1_272
>Ga0212090_100098879	E1_273
>WP_013872797.1	E1_274
>Ga0075026_1000377082	E1_275
>Ga0123356_101038432	E1_276
>Ga0123357_10000006103	E1_277
>JGI24704J35079_1000012324	E1_278
>C688J35102_1208957931	E1_279
>Ga0131853_1000012440	E1_280
>Ga0153917_100007590	E1_281
>JGI1652J44930_100100882	E1_282
>Ga0075029_1000053816	E1_283
>Ga0131853_100103358	E1_284
>Ga0123357_100108749	E1_285
>Ga0123357_1000010739	E1_286
>JGI2065J20421_10064573	E1_287
>Ga0082212_100085233	E1_288
>JGI25827J50174_1006143	E1_289
>JGI25320J50211_10008144	E1_290
>Ga0075014_1000113142	E1_291
>Ga0075021_100331022	E1_292
>2200666928	E1_293
>Ga0065720_10036937	E1_294
>Ga0194055_100071474	E1_295
>645042822	E1_296
>JGI1652J44930_100077931	E1_297
>GOScombined01_1007670102	E1_298
>GL0_10687791	E1_299
>WP_013863351.1	E1_300
>WP_020378776.1	E1_301
>Ga0066906_100297771	E1_302
>WP_038566639.1	E1_303
>Ga0131853_100578372	E1_304
>WP_013018949.1	E1_305
>C688J35102_1209662673	E1_306
>WP_007919085.1	E1_307
>BMHB2_0014	E1_308
>Ga0052186_100784503	E1_309
>Ga0123353_1000027932	E1_310
>Ga0063327_10784532	E1_311
>Ga0123354_103490501	E1_312
>2516594516	E1_313
>Ga0099364_1000081638	E1_314
>Ga0123327_100147816	E1_315
>Ga0214071_10755424	E1_316
>Ga0214071_14995553	E1_317
>Ga0081762_10590001	E1_318
>Abe_100005017	E1_319
>Ga0212088_101082522	E1_320
>Ga0068706_10055102	E1_321
>Ga0172381_101001541	E1_322
>JGI11944J13513_1000024135	E1_323
>Ga0212088_1000082318	E1_324
>Ga0068711_1000004418	E1_325
>Ga0212088_100883442	E1_326
>Ga0081762_10141786	E1_327
>JGI24188J35168_100056820	E1_328
>Ga0123353_100404796	E1_329
>Ga0052186_100405902	E1_330
>JGI20170J26628_100490762	E1_331
>PaHGMunAill_00233482	E1_332
>WP_008870903.1	E1_333
>Ga0123357_1000724614	E1_334
>IMNBL3_100147415	E1_335
>WP_028840715.1	E1_336
>Ga0104751_10288074	E1_337
>2509081603	E1_338
>WP_014695592.1	E1_339
>Ga0082212_100611733	E1_340
>Ga0194038_10070542	E1_341
>Ga0082212_101689472	E1_342
>JGI20169J29049_114483624	E1_343
>Ga0214090_102185661	E1_344
>Ga0079365_112534701	E1_345
>2228673224	E1_346
>Ga0214108_101608214	E1_347
>JGI26054J46599_10044022	E1_348
>Ga0074278_1025602	E1_349
>2157515233	E1_350
>Ga0214108_103285332	E1_351
>Ga0136651_101298431	E1_352
>Ga0068714_1000908310	E1_353
>JGI26523J50269_100047316	E1_354
>JGI24704J35079_100024597	E1_355
>Ga0123356_100706392	E1_356
>Ga0074195_100211323	E1_357
>JGI26536J50258_10006844	E1_358
>JGI20214J51088_100122123	E1_359
>JGI24108J20142_10000062	E1_360
>WP_034339511.1	E1_361
>Ga0066906_100108844	E1_362
>Ga0214071_15914633	E1_363
>SRS013946_WUGC_scaffold_15562__gene_38402	E1_364
>WP_004100226.1	E1_365
>WP_091831732.1	E1_366
>JGI20225J14565_10015721	E1_367
>Ga0070399_100299113	E1_368
>WP_084661348.1	E1_369
>AEW05510.1	E1_370
>SMC02274.1	E1_371
>Ga0123353_107884711	E1_372
>Ga0105700_12070793	E1_373
>Ga0190358_10017334	E1_374
>JGI24188J35168_10117482	E1_375
>Ga0105674_11529744	E1_376
>Ga0116204_10048871	E1_377
>2598362267	E1_378
>JGI25329J36429_10012088	E1_379
>Ga0065723_10043888	E1_380
>Ga0114922_100899772	E1_381
>WSSedA1Ba3DRAFT_10025863	E1_382
>Ga0130025_1161008159	E1_383
>Ga0212088_100259842	E1_384
>Ga0081762_10047493	E1_385
>WP_014184417.1	E1_386
>Ga0134104_10193311	E1_387
>Iso3TCLC_1001030218	E1_388
>Ga0212090_100397665	E1_389
>Ga0214071_165495611	E1_390
>WP_084051921.1	E1_391
>WP_007919049.1	E1_392
>Ga0101770_100048517	E1_393
>Ga0134093_10046483	E1_394
>Ga0214071_13233691	E1_395
>JGI2065J20421_1000023123	E1_396
>WP_069808724.1	E1_397
>Ga0180085_10059973	E1_398
>Ga0105672_10319272	E1_399
>Ga0214071_15660962	E1_400
>Ga0068714_100286233	E1_401
>2503367387	E2_1
>Ga0055526_10066001	E2_2
>BRHa_100086312	E2_3
>JGI2065J20421_10126601	E2_4
>JGI11944J13513_10028837	E2_5
>WSSedA1TDRAFT_0010633	E2_6
>Ga0123355_103898702	E2_7
>JGI20214J51088_100164292	E2_8
>Ga0116202_100131295	E2_9
>JGIcombinedJ13530_1002341813	E2_10
>JGI25321J50212_100191511	E2_11
>Ga0214071_13172163	E2_12
>Ga0079303_100046545	E2_13
>WOR8_100276071	E2_14
>Ga0206388_10446205	E2_15
>Ga0213858_100345152	E2_16
>651255249	E2_17
>Ga0172382_100074838	E2_18
>Ga0181575_100946472	E2_19
>APTFG_2880130	E2_20
>Ga0181583_100286412	E2_21
>Ga0123396_1058444	E2_22
>Ga0194056_100146942	E2_23
>Ga0172382_101160232	E2_24
>Ga0181552_100035232	E2_25
>Ga0101728_1096987	E2_26
>Ga0137456_10011633	E2_27
>Ga0181583_100097675	E2_28
>Ga0104751_10067647	E2_29
>2228703477	E2_30
>Ga0181592_100439914	E2_31
>Ga0157316_10016571	E2_32
>Ga0114923_100312023	E2_33
>Ga0213835_1088882	E2_34
>GOScombined01_100553523732	E2_35
>Ga0115013_101279421	E2_36
>Ga0212090_1000182820	E2_37
>Ga0181591_100054369	E2_38
>Ga0075023_1000136102	E2_39
>Ga0068702_100001479	E2_40
>2502440637	E2_41
>Ga0115005_100173892	E2_42
>Ga0213830_10132101	E2_43
>JGI25326J35508_100014648	E2_44
>JGI12712J15308_100092982	E2_45
>WP_028534531.1	E2_46
>Ga0130025_12067382	E2_47
>C688J35102_1207609511	E2_48
>Ga0079975_102426	E2_49
>Ga0075030_1000159985	E2_50
>JGI25317J35169_10022903	E2_51
>Ga0172382_1000232336	E2_52
>Ga0123357_101664152	E2_53
>Ga0213881_100048594	E2_54
>Ga0160428_10017979	E2_55
>Ga0226661_100189863	E2_56
>JGI26528J50254_10203141	E2_57
>JGIcombinedJ13530_1035381582	E2_58
>Ga0153954_10063363	E2_59
>Ga0055531_100003936	E2_60
>Ga0055530_1000057110	E2_61
>Ga0212091_100033347	E2_62
>JGI24109J20143_10002397	E2_63
>Ga0164296_10031934	E2_64
>JGIcombinedJ13530_1001177582	E2_65
>C688J18823_100520162	E2_66
>Ga0114918_10000018122	E2_67
>Ga0058690_1000646	E2_68
>WP_038539507.1	E2_69
>Ga0206123_100017515	E2_70
>2523100011	E2_71
>ABP34829.1	E2_72
>JGIcombinedJ13530_1101092662	E2_73
>JGI25317J35169_100141714	E2_74
>Ga0058691_10180141	E2_75
>Ga0115550_1000006342	E2_76
>Ga0157575_1494603	E2_77
>WP_037457820.1	E2_78
>Ga0172382_1000195717	E2_79
>Ga0075017_1001411441	E2_80
>Ga0181559_100784922	E2_81
>Ga0075018_100333552	E2_82
>Ga0123356_105594251	E2_83
>Ga0213881_100008924	E2_84
>Ga0075030_1002217832	E2_85
>Ga0115572_100400231	E2_86
>Ga0081761_10167195	E2_87
>Ga0213839_100032319	E2_88
>draft_114842731	E2_89
>Ga0055539_100012925	E2_90
>WP_051692460.1	E2_91
>648038107	E2_92
>Ga0075030_1001606262	E2_93
>Ga0213839_100041146	E2_94
>WP_013950633.1	E2_95
>Ga0160428_100111411	E2_96
>Ga0114948_101456821	E2_97
>Ga0068713_10001408	E2_98
>Ga0065183_100076472	E2_99
>WP_051933149.1	E2_100
>JGI26540J51217_100096172	E2_101
>Ga0134062_100073752	E2_102
>JGI26530J50255_100024055	E2_103
>2201118198	E2_104
>2505796724	E2_105
>WP_026872492.1	E2_106
>Ga0097681_10600841	E2_107
>641707236	E2_108
>Ga0041910_100037917	E2_109
>Ga0055584_1000077995	E2_110
>ACD_45C00292G0013	E2_111
>Ga0055584_1000137845	E2_112
>Ga0075467_100000309	E2_113
>WP_009539672.1	E2_114
>2586252919	E2_115
>JGI25317J35169_10077302	E2_116
>draft_115049822	E2_117
>C688J35102_1206660641	E2_118
>Ga0154000_10325991	E2_119
>Ga0197853_1078941114	E2_120
>2562330766	E2_121
>Ga0153955_10020110	E2_122
>646692733	E2_123
>Ga0154006_100003529	E2_124
>Ga0213882_100129883	E2_125
>Ga0123354_100016609	E2_126
>JGI12419J13241_10041753	E2_127
>Ga0172377_101222763	E2_128
>Ga0115551_10023763	E2_129
>Ga0181558_100476972	E2_130
>C688J18823_100016414	E4_1
>Ga0213835_10009869	E4_2
>Ga0153956_100193116	E4_3
>Ga0055584_1000599842	E4_4
>Ga0212088_1001135916	E4_5
>Ga0134063_100035457	E4_6
>JGI25326J35508_100057214	E4_7
>JGI2065J20421_100002747	E4_8
>Ga0194059_10295702	E4_9
>C688J18823_100721422	E4_10
>C688J35102_1209010182	E4_11
>Ga0134076_100031893	E4_12
>Ga0194042_10047214	E4_13
>Ga0137458_10173801	E4_14
>Ga0182793_10149231	E4_15
>OJV95130.1	E4_16
>Ga0213881_100921641	E4_17
>Ga0181587_100299423	E4_18
>OJW22622.1	E4_19
>C688J18823_100505402	E4_20
>Ga0068696_10031312	E4_21
>Ga0134082_100119542	E4_22
>640173665	E4_23
>OQW62482.1	E4_24
>C688J18823_100712932	E4_25
>WP_068773017.1	E4_26
>Ga0213839_10291872	E4_27
>Ga0104751_10326352	E4_28
>Ga0134080_100201532	E4_29
>2512833848	E4_30
>642768011	E4_31
>Ga0075021_100758282	E4_32
>PBR_10172965	E4_33
>Ga0065721_100667664	E4_34
>JGI12316J14372_1000212916	E4_35
>Ga0194055_100018298	E4_36
>Ga0214071_100342552	E4_37
>WP_026393100.1	E4_38
>OQW32333.1	E4_39
>Ga0194035_10201562	E4_40
>Ga0131853_100032897	E4_41
>Ga0131853_101211593	E4_42
>NICFPass4AFXDRAFT_0005503	E4_43
>WP_054533216.1	E4_44
>2509790006	E4_45
>2514080628	E4_46
>JGI12531J12852_1000081410	E4_47
>Ga0137463_10013241	E4_48
>C688J18823_100617462	E4_49
>640842489	E4_50
>Ga0134090_100005532	E4_51
>EAQ80041.1	E4_52
>Ga0213839_100004366	E4_53
>Ga0104751_10529932	E4_54
>Ga0153798_1000001410	E4_55
>Ga0212090_1000056063	E4_56
>JGI12316J14372_100123822	E4_57
>JGI12659J15293_100078295	E4_58
>2506865117	E4_59
>Ga0212091_10000005129	E4_60
>GOScombined01_1024733172	E4_61
>Ga0066870_1026992	E4_62
>Ga0213882_100057893	E4_63
>Ga0212090_101454542	E4_64
>Ga0075471_100131312	E4_65
>Ga0075029_10000033613	E4_66
>Ga0134082_100506871	E4_67
>Ga0212090_100962872	E4_68
>Ga0137438_10083942	E4_69
>Ga0213866_100019029	E4_70
>Ga0075471_100816362	E4_71
>Ga0194061_10231712	E4_72
>Ga0134062_100159582	E4_73
>KiloMoana_1000027017	E4_74
>C688J35102_1209216292	E4_75
>NICFPass4XylDRAFT_0015784	E4_76
>Ga0075021_100148512	E4_77
>Ga0075029_1000477542	E4_78
>Ga0063455_1000025672	B_1
>WP_084213668.1	B_2
>Ga0058696_10032113	B_3
>Ga0055532_10080771	B_4
>Ga0058693_10024612	B_5
>Ga0055541_10005522	B_6
>Ga0058693_10072972	B_7
>WP_038090377.1	B_8
>JGI25329J36429_10018555	B_9
>Ga0079365_117980281	B_10
>Ga0058696_100061212	B_11
>WP_007203172.1	B_12
>WP_028775386.1	B_13
>KKW02846.1	B_14
>JGI26055J44792_10052242	B_15
>Ga0065721_100941501	B_16
>WP_013173429.1	B_17
>2572258082	B_18
>soap12_10507312	B_19
>WP_015641264.1	B_20
>2524387257	B_21
>Ga0070403_105492	B_22
>JGI25318J35512_10014735	B_23
>Ga0134094_10113502	B_24
>KUO90524.1	A_1
>WP_081245688.1	A_2
>2503055619	A_3
>ACB39273.1	A_4
>WP_052883731.1	A_5
>AIG99306.1	A_6
>WP_013680135.1	A_7
>WP_013683333.1	A_8
>WP_012310226.1	A_9
>640083075	A_10
