>Ga0196980_100001287	nifDI_1
>WP_092786515.1	nifDI_78
>Ga0055584_1001146532	nifDI_79
>KAB2934899.1	nifDI_80
>WP_011813090.1	nifDI_81
>SUS08905.1	nifDI_82
>WP_071308027.1	nifDI_83
>HAT51404.1	nifDI_84
>Ga0255334_100039216	nifDI_85
>WP_040100072.1	nifDI_86
>WP_091932045.1	nifDI_87
>WP_024791027.1	nifDI_88
>Ga0102940_10456711	nifDI_89
>SBW06906.1	nifDI_90
>Ga0307373_100417132	nifDI_91
>WP_162552189.1	nifDI_92
>TVR99933.1	nifDI_93
>Ga0370489_0014338_377_1855	nifDI_94
>WP_125017134.1	nifDI_95
>WP_100667696.1	nifDI_96
>JGI24125J20156_100005219	nifDI_97
>WP_047829846.1	nifDI_98
>TVQ35192.1	nifDI_99
>WP_131786704.1	nifDI_100
>WP_113021327.1	nifDI_101
>KAF0118755.1	nifDI_102
>WP_011139243.1	nifDI_103
>WP_089322840.1	nifDI_104
>WP_092620709.1	nifDI_105
>WP_128466941.1	nifDI_106
>WP_022850365.1	nifDI_107
>WP_027390770.1	nifDI_108
>NBB70509.1	nifDI_109
>Ga0395806_0000727_18257_19696	nifDI_110
>NGZ25906.1	nifDI_111
>CAB1127964.1	nifDI_112
>WP_013505324.1	nifDI_113
>OGH03496.1	nifDI_114
>WP_027289759.1	nifDI_115
>Ga0102938_1000196710	nifDI_116
>Ga0334949_006690_1_1368	nifDI_117
>Ga0180106_13230612	nifDI_118
>CCQ92502.1	nifDI_119
>WP_096409262.1	nifDI_120
>WP_130470434.1	nifDI_121
>Ga0137375_100825612	nifDI_122
>WP_013450809.1	nifDI_123
>WP_131911475.1	nifDI_124
>FeGluAir_103126392	nifDI_125
>Ga0182017_101350582	nifDII_1
>Ga0194060_100280061	nifDII_2
>TDB37108.1	nifDII_3
>JGI24140J50213_100024004	nifDII_4
>Ga0395806_0002210_12249_13886	nifDII_5
>JGI24143J45723_100071513	nifDII_6
>Ga0395804_0004931_10303_11940	nifDII_7
>JGI20171J14444_10061171	nifDII_8
>Ga0102492_1005811	nifDII_9
>WP_160684435.1	nifDII_10
>Ga0206388_11417422	nifDII_11
>Ga0123291_12586	nifDII_12
>Ga0212088_100079736	nifDII_13
>Ga0134103_100118512	nifDII_14
>HGS04140.1	nifDII_15
>WP_091709560.1	nifDII_16
>WP_043631119.1	nifDII_17
>Ga0075317_10052491	nifDII_18
>JGI24146J26653_100219811	nifDII_19
>WP_066241090.1	nifDII_20
>Ga0101937_10007417	nifDII_21
>Ga0074046_100665673	nifDII_22
>WP_092154610.1	nifDII_23
>WP_066236708.1	nifDII_24
>WP_120274066.1	nifDII_25
>OPY56164.1	nifDII_26
>Ga0314860_0000823_20024_21646	nifDII_27
>WP_124064780.1	nifDII_28
>Ga0182017_100801432	nifDII_29
>JGIcombinedJ43158_100001126	nifDII_30
>TCW39568.1	nifDII_31
>WP_044040375.1	nifDII_32
>JGI12104J13512_10071863	nifDII_33
>Ga0247275_10011307	nifDII_34
>WP_115482486.1	nifDII_35
>WP_033167433.1	nifDII_36
>Ga0209125_100445511	nifDII_37
>WP_084577809.1	nifDII_38
>Ga0074195_1000040169	nifDII_39
>WP_152806396.1	nifDII_40
>Ga0074199_10034192	nifDII_41
>Ga0207800_10027441	nifDII_42
>KJR99748.1	nifDII_43
>JGI24730J26740_10077091	nifDII_44
>BBO75675.1	nifDII_45
>Ga0335085_102113451	nifDII_46
>Ga0134099_10266632	nifDII_47
>WP_106010182.1	nifDII_48
>Ga0212088_100162406	nifDII_49
>Ga0247728_10006242	nifDII_50
>Ga0134092_100104017	nifDII_51
>Ga0079286_10016210	nifDII_52
>2595077940_Desulfonatronum	nifDII_53
>Ga0314860_0050537_3_1532	nifDII_54
>Ga0163159_100031248	nifDII_55
>WP_004037777.1	nifDII_56
>Ga0172377_101262213	nifDII_57
>OGR23269.1	nifDII_58
>Ga0102925_10133003	nifDII_59
>MTI83826.1	nifDII_60
>Ga0255336_10077223	nifDII_61
>OQB97420.1	nifDII_62
>TCO07132.1	nifDII_63
>WP_114616918.1	nifDII_64
>Ga0120175_100026617	nifDII_65
>Ga0052178_1006843	nifDII_66
>OAB57261.1	nifDII_67
>Ga0075520_10584582	nifDII_68
>JGI24698J34947_100877121	nifDII_69
>WP_077975448.1	nifDII_70
>WP_167619440.1	nifDII_71
>1MIO_A	nifDII_72
>WP_011879117.1	nifDII_73
>Ga0115943_10003644	nifDII_74
>Ga0074046_102130671	nifDII_75
>WP_010963579.1	nifDII_76
>Ga0100050_106276	nifDII_77
>Ga0194063_100022185	nifDII_78
>Ga0182028_11348421	nifDII_79
>Ga0052186_100609649	nifDII_80
>TWU42267.1	nifDII_81
>Ga0116218_10034745	nifDII_82
>Ga0311301_106075931	nifDII_83
>Ga0074195_10024336	nifDII_84
>Ga0172381_100620712	nifDII_85
>WP_028313268.1	nifDII_86
>Ga0068712_100033446	nifDII_87
>WP_012064611.1	nifDII_88
>WP_083602340.1	nifDII_89
>WP_009512764.1	nifDII_90
>TEB10530.1	nifDII_91
>Ga0134100_10106781	nifDII_92
>JGIcombinedJ43158_1000025921	nifDII_93
>Ga0074195_100160635	nifDII_94
>WP_073590198.1	nifDII_95
>PCH69722.1	nifDII_96
>OIP52533.1	nifDII_97
>Ga0123335_10080259	nifDII_98
>WP_036944819.1	nifDII_99
>WP_107754048.1	nifDII_100
>Ga0226659_100050353	nifDII_101
>WP_027936784.1	nifDII_102
>JGI24732J26686_10009011	nifDII_103
>Ga0226657_1000147616	nifDII_104
>WP_073994077.1	nifDII_105
>WP_011176590.1	nifDII_106
>WP_005034268.1	nifDII_107
>WP_146413826.1	nifDII_108
>Ga0070399_10127513	nifDII_109
>WP_128214355.1	nifDII_110
>WP_053243318.1	nifDII_111
>Ga0123334_10841301	nifDII_112
>WP_069643776.1	nifDII_113
>Ga0370486_000011_86417_88030	nifDII_114
>WP_027473406.1	nifDII_115
>WP_149735374.1	nifDII_116
>Ga0370486_009188_843_2117	nifDII_117
>Ga0207836_10037992	nifDII_118
>Ga0370507_0026067_270_1754	nifDII_119
>WP_015712343.1	nifDII_120
>OGS33426.1	nifDII_121
>Ga0153972_100013118	nifDII_122
>HAM45958.1	nifDII_123
>Ga0079306_10052671	nifDII_124
>Ga0074197_1000003560	nifDII_125
>WP_014258953.1	nifDII_126
>Ga0153798_100223264	nifDII_127
>OHD80119.1	nifDII_128
>HAT09213.1	nifDII_129
>FeGluAir_1005121710	nifDII_130
>GBE04563.1	nifDII_131
>ACV61912.1	nifDII_132
>WP_091971255.1	nifDII_133
>WP_125988274.1	nifDII_134
>WP_013044573.1	nifDII_135
>WP_110956415.1	nifDII_136
>WP_066649719.1	nifDII_137
>MRG76470.1	nifDII_138
>GAK52443.1	nifDII_139
>Ga0212088_100061065	nifDII_140
>Ga0212088_102402352	nifDII_141
>OHD11360.1	nifDII_142
>PKM52007.1	nifDII_143
>WP_132282752.1	nifDII_144
>WP_012103421.1	nifDII_145
>OGH94911.1	nifDII_146
>WP_144303315.1	nifDII_147
>RJP93509.1	nifDII_148
>TVR11340.1	nifDII_149
>KAF0094516.1	nifDII_150
>HCD32495.1	nifDII_151
>WP_144685757.1	nifDII_152
>WP_028573639.1	nifDII_153
>Ga0226657_100123691	nifDII_154
>WP_106058233.1	nifDII_155
>WP_136063798.1	nifDII_156
>WP_152004641.1	nifDII_157
>Ga0226657_1000098930	nifDII_158
>WP_052219936.1	nifDII_159
>WP_066625032.1	nifDII_160
>WP_014404755.1	nifDII_161
>Ga0172377_102079781	nifDII_162
>Ga0163159_100024556	nifDII_163
>RJP78563.1	nifDII_164
>Ga0209585_100029783	nifDII_165
>WP_129367910.1	nifDII_166
>JGI24729J20445_100039215	nifDII_167
>WP_068716933.1	nifDII_168
>WP_062326416.1	nifDII_169
>OHD05378.1	nifDII_170
>WP_048152033.1	nifDII_171
>Ga0182017_1000055516	nifDII_172
>Ga0074045_100022986	nifDII_173
>Ga0182011_100006344	nifDII_174
>Cyano_1000056117	nifDII_175
>HAB62418.1	nifDII_176
>Ga0212088_101586582	nifDII_177
>WP_092073284.1	nifDII_178
>AFM28069.1	nifDII_179
>Ga0123334_100245513	nifDII_180
>Ga0074198_100016176	nifDII_181
>PLX40018.1	nifDII_182
>WP_018247478.1	nifDII_183
>AKG53285.1	nifDII_184
>Ga0335085_100768682	nifDII_185
>Ga0187769_100718292	nifDII_186
>Ga0172377_101067162	nifDII_187
>Ga0214071_10757083	nifDII_188
>Ga0180109_10308682	nifDII_189
>Ga0209385_10624481	nifDII_190
>Ga0395804_0000624_37850_39508	nifDII_191
>WP_074502490.1	nifDII_192
>WP_017751364.1	nifDII_193
>WP_003544520.1	nifDII_194
>Ga0102940_10976361	nifDII_195
>WP_139693728.1	nifDII_196
>OHE69877.1	nifDII_197
>Ga0212090_100259404	nifDII_198
>ADO83187.1	nifDII_199
>WP_020880655.1	nifDII_200
>RQD77615.1	nifDII_201
>HBE76937.1	nifDII_202
>Ga0055584_1000958992	nifDII_203
>HFJ47421.1	nifDII_204
>Ga0104756_100140423	nifDII_205
>JGI12365J12839_10008916	nifDII_206
>Ga0153798_1000281925	nifDII_207
>WP_071516269.1	nifDII_208
>NEO25516.1	nifDII_209
>Ga0074199_1000115122	nifDII_210
>Ga0213835_1042264	nifDII_211
>WP_027358824.1	nifDII_212
>Ga0070399_100076530	nifDII_213
>Ga0052181_10010931	nifDII_214
>WP_067619329.1	nifDII_215
>WP_073041681.1	nifDII_216
>Ga0104756_10106513	nifDII_217
>BLZD_100002733	nifDII_218
>Ga0104761_10061422	nifDII_219
>Ga0055584_1000630372	nifDII_220
>TSA13528.1	nifDII_221
>PAW77337.1	nifDII_222
>Ga0172377_101370222	nifDII_223
>Ga0209125_100083720	nifDII_224
>PRSSGFe2_0103.00002150	nifDII_225
>PRSSGFe2_0085.00000010	nifDII_226
>WP_082695279.1	nifDII_227
>WP_069897284.1	nifDII_228
>Ga0370507_0004419_1374_2990	nifDII_229
>PRSSGFe2_0951.00000560	nifDII_230
>WP_013255566.1	nifDII_231
>Ga0104756_100032923	nifDII_232
>WP_111444971.1	nifDII_233
>Ga0182017_100096844	nifDII_234
>Ga0074195_100041257	nifDII_235
>Ga0068712_10008177	nifDII_236
>KOR33597.1	nifDII_237
>WP_006098789.1	nifDII_238
>WP_012617250.1	nifDII_239
>WP_132847950.1	nifDII_240
>WP_058485595.1	nifDII_241
>WP_130596027.1	nifDII_242
>PKL13934.1	nifDII_243
>WP_079423850.1	nifDII_244
>WP_029896458.1	nifDII_245
>WP_167166533.1	nifDII_246
>WP_012499580.1	nifDII_247
>OQA99371.1	nifDII_248
>WP_094550759.1	nifDII_249
>WP_114298794.1	nifDII_250
>WP_162369227.1	nifDII_251
>Ga0226655_100100697	nifDII_252
>HFQ80030.1	nifDII_253
>Ga0074199_100009932	nifDII_254
>Ga0226657_1000231712	nifDII_255
>WP_132550261.1	nifDII_256
>Ga0102940_10033787	nifDII_257
>Ga0074195_10114823	nifDII_258
>WP_019178611.1	nifDII_259
>Ga0137379_1000042023	nifDII_260
>FeGluAir_10001655108	nifDII_261
>Ga0395806_0266686_2_1615	nifDII_262
>WP_008518845.1	nifDII_263
>Ga0316601_1002949271	nifDII_264
>Ga0318496_100096932	nifDII_265
>FeGluAir_10002225211	nifDII_266
>JGI12287J12850_10001973	nifDII_267
>Ga0187784_100815572	nifDII_268
>Ga0182011_100244475	nifDII_269
>Ga0226657_100028946	nifDII_270
>WP_073078014.1	nifDII_271
>WP_027192253.1	nifDII_272
>WP_026881933.1	nifDII_273
>BRHa_100127388	nifDII_274
>HDS63705.1	nifDII_275
>WP_028973001.1	nifDII_276
>WP_013313164.1	nifDII_277
>GBE57611.1	nifDII_278
>Ga0172377_100256905	nifDII_279
>Ga0212088_1000037091	nifDII_280
>WP_166031478.1	nifDII_281
>Ga0055584_1000480522	nifDII_282
>Ga0068711_1000008124	nifDII_283
>PXF56965.1	nifDII_284
>THB63124.1	nifDII_285
>WP_073338255.1	nifDII_286
>WP_051261289.1	nifDII_287
>RMG93793.1	nifDII_288
>Ga0212088_100174022	nifDII_289
>Ga0116204_100056210	nifDII_290
>2221936306	nifDII_291
>Ga0226657_1000089315	nifDII_292
>TAK30103.1	nifDII_293
>NBC84333.1	nifDII_294
>TVR89729.1	nifDII_295
>TAL18781.1	nifDII_296
>WP_149567843.1	nifDII_297
>TVS07813.1	nifDII_298
>WP_010074629.1	nifDII_299
>CBX26827.1	nifDII_300
>WP_021759919.1	nifDII_301
>WP_101909654.1	nifDII_302
>WP_109262939.1	nifDII_303
>Ga0395806_0334886_3_1457	nifDII_304
>WP_114601596.1	nifDII_305
>OGV45347.1	nifDII_306
>MTI80368.1	nifDII_307
>Ga0123334_10114863	nifDII_308
>JGI11944J13513_10013517	nifDII_309
>Ga0068714_100070967	nifDII_310
>Ga0123334_10086064	nifDII_311
>WP_132015167.1	nifDII_312
>OJU10189.1	nifDII_313
>WP_073019220.1	nifDII_314
>HBF33744.1	nifDII_315
>WP_132780845.1	nifDII_316
>WP_156940127.1	nifDII_317
>Ga0370490_0013775_1471_2754	nifDII_318
>Iso3TCLC_1000038110	nifDII_319
>WP_013485455.1	nifDII_320
>Ga0335078_100484534	nifDII_321
>Ga0153983_100003726	nifDII_322
>Ga0100050_104218	nifDII_323
>Ga0182017_100468602	nifDII_324
>Ga0311301_101616532	nifDII_325
>Ga0074045_1000143314	AnfD_1
>WP_013934259.1	AnfD_2
>JGI2065J20421_10038827	AnfD_3
>WP_119005225.1	AnfD_4
>Ga0070399_100085918	AnfD_5
>WP_096046696.1	AnfD_6
>WP_003447707.1	AnfD_7
>SBW00972.1	AnfD_8
>JGIcombinedJ43158_100238431	AnfD_9
>AAB02935.1	AnfD_10
>WP_135545958.1	AnfD_11
>WP_074502407.1	AnfD_12
>Ga0209415_1000274010	VnfD_1
>WP_048176300.1	VnfD_2
>NJM13595.1	VnfD_3
>HBE76223.1	VnfD_4
>JGI24147J26652_10096384	VnfD_5
>WP_015616547.1	VnfD_6
>Ga0401346_00207_26090_28243	VnfD_7
>WP_094352070.1	VnfD_8
>Ga0153972_10038943	VnfD_9
>WP_008426410.1	VnfD_10
>WP_011320715.1	VnfD_11
>WP_073538801.1	VnfD_12
>Ga0172377_100609302	VnfD_13
>Ga0182011_100127425	VnfD_14
>WP_020587162.1	VnfD_15
>WP_094352052.1	VnfD_16
>RUM33204.1	VnfD_17
>WP_165613180.1	nifDIII_1
>WP_097642294.1	nifDIII_2
>WP_100907299.1	nifDIII_3
>WP_029228637.1	nifDIII_4
>P0CW50.1	nifDIII_5
>Ga0214088_11230929	nifDIII_6
>Ga0081762_10270597	nifDIII_7
>WP_013099456.1	nifDIII_8
>QHN05705.1	nifDIII_9
>WP_069582431.1	nifDIII_10
>WP_152298192.1	nifDIII_11
>Ga0075520_10258071	nifDIII_12
>WP_156896798.1	nifDIII_13
>WP_013867270.1	nifDIII_14
>RZB31882.1	nifDIII_15
>WP_054834917.1	nifDIII_16
>WP_018154782.1	nifDIII_17
>WP_084266260.1	nifDIII_18
>JGI11944J13513_1000051116	nifDIII_19
>GCC10465.1	nifDIII_20
>Ga0194047_1000023719	nifDIII_21
>NJK81068.1	nifDIII_22
>WP_071907543.1	nifDIII_23
>WP_096232328.1	nifDIII_24
>GAW93886.1	nifDIII_25
>GBE18616.1	nifDIII_26
>Ga0081762_10097751	nifDIII_27
>NJN65560.1	nifDIII_28
>WP_067088899.1	nifDIII_29
>Ga0101558_11201761	nifDIII_30
>TDA70458.1	nifDIII_31
>Ga0123335_10082217	nifDIII_32
>Ga0114922_100328584	nifDIII_33
>WP_012301308.1	nifDIII_34
>WP_093395192.1	nifDIII_35
>ADF27338.1	nifDIV_1
>Ga0264392_101318	nifDIV_2
>WP_097299121.1	nifDIV_3
